# SeismoWeb example 2 - uncorrected accelerogram with a linear instrument baseline drift
# station SYN-02, component NS,  raw (as recorded)
# time step: 0.01 s   units: g
time_s,acc_g
1.3500,5.88394019e-03
1.3600,5.47475308e-03
1.3700,5.95039433e-03
1.3800,6.11101497e-03
1.3900,4.79751838e-03
1.4000,2.74456728e-03
1.4100,2.29551746e-03
1.4200,4.83969657e-03
1.4300,8.03750121e-03
1.4400,8.36423214e-03
1.4500,6.81707074e-03
1.4600,7.79697671e-03
1.4700,1.28050287e-02
1.4800,1.89426314e-02
1.4900,2.27070564e-02
1.5000,2.33510185e-02
1.5100,2.29233750e-02
1.5200,2.30839236e-02
1.5300,2.25944082e-02
1.5400,1.95198283e-02
1.5500,1.45081427e-02
1.5600,1.02930974e-02
1.5700,8.86778085e-03
1.5800,9.52474695e-03
1.5900,9.70404046e-03
1.6000,7.48106274e-03
1.6100,3.07600766e-03
1.6200,-1.35952713e-03
1.6300,-3.73318435e-03
1.6400,-3.91944604e-03
1.6500,-3.20850287e-03
1.6600,-2.78806309e-03
1.6700,-3.70696674e-03
1.6800,-6.41412012e-03
1.6900,-9.14098292e-03
1.7000,-9.63724701e-03
1.7100,-8.31309698e-03
1.7200,-6.73078121e-03
1.7300,-4.86807475e-03
1.7400,-1.80207514e-03
1.7500,1.77011832e-03
1.7600,2.82586141e-03
1.7700,-4.48217029e-04
1.7800,-5.21768224e-03
1.7900,-6.85632382e-03
1.8000,-4.27712011e-03
1.8100,4.87443457e-04
1.8200,6.33413246e-03
1.8300,1.27666115e-02
1.8400,1.71758233e-02
1.8500,1.71919905e-02
1.8600,1.43038008e-02
1.8700,1.10314933e-02
1.8800,7.19486970e-03
1.8900,1.82858692e-03
1.9000,-3.81771157e-03
1.9100,-6.73733899e-03
1.9200,-5.93531738e-03
1.9300,-4.11348684e-03
1.9400,-3.66454843e-03
1.9500,-4.45779820e-03
1.9600,-6.01534949e-03
1.9700,-8.05461255e-03
1.9800,-9.67002883e-03
1.9900,-9.65585181e-03
2.0000,-7.30841430e-03
2.0100,-3.19786028e-03
2.0200,1.36344217e-03
2.0300,6.05195210e-03
2.0400,1.11915633e-02
2.0500,1.64655148e-02
2.0600,2.15784945e-02
2.0700,2.61219546e-02
2.0800,2.84678935e-02
2.0900,2.75194722e-02
2.1000,2.51873919e-02
2.1100,2.49001782e-02
2.1200,2.81915073e-02
2.1300,3.36451245e-02
2.1400,3.80800542e-02
2.1500,3.84231171e-02
2.1600,3.41290904e-02
2.1700,2.80206893e-02
2.1800,2.27585490e-02
2.1900,1.80348319e-02
2.2000,1.34164660e-02
2.2100,1.06643473e-02
2.2200,1.07331953e-02
2.2300,1.11215966e-02
2.2400,8.67901713e-03
2.2500,2.76630655e-03
2.2600,-4.77374311e-03
2.2700,-9.95996197e-03
2.2800,-9.82876894e-03
2.2900,-5.43132849e-03
2.3000,1.45130872e-03
2.3100,9.20358423e-03
2.3200,1.30057874e-02
2.3300,8.35384144e-03
2.3400,-1.10968680e-03
2.3500,-5.31516850e-03
2.3600,-2.39573047e-05
2.3700,9.04897309e-03
2.3800,1.70840025e-02
2.3900,2.46006289e-02
2.4000,3.02737925e-02
2.4100,3.04956816e-02
2.4200,2.52623465e-02
2.4300,1.94993442e-02
2.4400,1.93706302e-02
2.4500,2.63101171e-02
2.4600,3.47349293e-02
2.4700,3.70240387e-02
2.4800,3.18987962e-02
2.4900,2.69717803e-02
2.5000,2.72159351e-02
2.5100,2.58430111e-02
2.5200,1.59318380e-02
2.5300,8.94206560e-04
2.5400,-1.33854573e-02
2.5500,-2.59382260e-02
2.5600,-3.74136493e-02
2.5700,-4.55698959e-02
2.5800,-4.65847718e-02
2.5900,-4.02355033e-02
2.6000,-3.12530841e-02
2.6100,-2.62196976e-02
2.6200,-3.05670958e-02
2.6300,-4.40421803e-02
2.6400,-5.87210089e-02
2.6500,-6.53584882e-02
2.6600,-6.11037217e-02
2.6700,-5.14314808e-02
2.6800,-4.39778412e-02
2.6900,-3.92181663e-02
2.7000,-3.18169586e-02
2.7100,-2.09939667e-02
2.7200,-1.17238294e-02
2.7300,-6.48535646e-03
2.7400,-4.01912596e-03
2.7500,-5.47282428e-03
2.7600,-1.25110683e-02
2.7700,-2.02197346e-02
2.7800,-2.38269777e-02
2.7900,-2.86918385e-02
2.8000,-4.05419790e-02
2.8100,-5.25458696e-02
2.8200,-5.30095597e-02
2.8300,-4.04397916e-02
2.8400,-2.52053668e-02
2.8500,-1.93490524e-02
2.8600,-2.51188003e-02
2.8700,-3.17858395e-02
2.8800,-2.69800583e-02
2.8900,-1.02561811e-02
2.9000,9.34355750e-03
2.9100,2.35731278e-02
2.9200,2.92065124e-02
2.9300,2.89683363e-02
2.9400,2.76543484e-02
2.9500,2.46505724e-02
2.9600,1.62654776e-02
2.9700,5.70040352e-03
2.9800,3.17522048e-03
2.9900,1.44526246e-02
3.0000,3.11425480e-02
3.0100,3.47684920e-02
3.0200,1.61014243e-02
3.0300,-1.30484195e-02
3.0400,-3.34212348e-02
3.0500,-3.62529402e-02
3.0600,-2.56174504e-02
3.0700,-1.22887332e-02
3.0800,-6.65539905e-03
3.0900,-1.08733557e-02
3.1000,-1.54399623e-02
3.1100,-7.05921783e-03
3.1200,1.65450694e-02
3.1300,4.20075979e-02
3.1400,5.56040689e-02
3.1500,5.76814543e-02
3.1600,5.57909868e-02
3.1700,5.19522031e-02
3.1800,4.40276277e-02
3.1900,3.59364816e-02
3.2000,3.53227380e-02
3.2100,3.89654949e-02
3.2200,3.56212557e-02
3.2300,2.38014559e-02
3.2400,1.25498295e-02
3.2500,8.95351703e-03
3.2600,1.31780868e-02
3.2700,1.95031096e-02
3.2800,2.19375811e-02
3.2900,2.22316090e-02
3.3000,2.60288357e-02
3.3100,3.16119007e-02
3.3200,3.09782585e-02
3.3300,2.43358774e-02
3.3400,2.36670035e-02
3.3500,3.36533527e-02
3.3600,4.45476550e-02
3.3700,5.14240707e-02
3.3800,5.91106507e-02
3.3900,6.84822132e-02
3.4000,7.72002838e-02
3.4100,8.57228330e-02
3.4200,9.29524299e-02
3.4300,9.59503034e-02
3.4400,9.42770265e-02
3.4500,8.80049914e-02
3.4600,7.68489536e-02
3.4700,6.56838511e-02
3.4800,6.19765151e-02
3.4900,6.41031108e-02
3.5000,6.21600217e-02
3.5100,5.40283747e-02
3.5200,5.03227379e-02
3.5300,5.53455144e-02
3.5400,5.61311494e-02
3.5500,4.21884495e-02
3.5600,2.04236444e-02
3.5700,4.34251549e-03
3.5800,4.21348242e-04
3.5900,1.62281183e-03
3.6000,-6.66964028e-03
3.6100,-2.92165785e-02
3.6200,-5.68690788e-02
3.6300,-8.07032954e-02
3.6400,-1.01611302e-01
3.6500,-1.22616302e-01
3.6600,-1.36575246e-01
3.6700,-1.31492097e-01
3.6800,-1.07868218e-01
3.6900,-7.99496511e-02
3.7000,-5.97931009e-02
3.7100,-5.01271102e-02
3.7200,-4.90665715e-02
3.7300,-5.23718915e-02
3.7400,-5.69440225e-02
3.7500,-6.45010006e-02
3.7600,-7.58307832e-02
3.7700,-8.52443096e-02
3.7800,-8.59787861e-02
3.7900,-7.69427614e-02
3.8000,-6.16711468e-02
3.8100,-4.63592114e-02
3.8200,-3.81540676e-02
3.8300,-3.75408247e-02
3.8400,-3.46973293e-02
3.8500,-2.16953948e-02
3.8600,-4.90157862e-03
3.8700,5.72254407e-03
3.8800,1.40542510e-02
3.8900,2.81811400e-02
3.9000,4.29484112e-02
3.9100,4.99043714e-02
3.9200,4.92542703e-02
3.9300,4.12261941e-02
3.9400,2.45639369e-02
3.9500,6.25463252e-03
3.9600,-2.68255924e-03
3.9700,-1.26459962e-03
3.9800,6.68387877e-04
3.9900,-2.07937102e-03
4.0000,-3.16539416e-03
4.0100,2.80945991e-03
4.0200,1.43629681e-02
4.0300,2.87549522e-02
4.0400,4.51578767e-02
4.0500,6.70238448e-02
4.0600,9.64779026e-02
4.0700,1.24083340e-01
4.0800,1.32968984e-01
4.0900,1.17196878e-01
4.1000,9.19616354e-02
4.1100,7.64428206e-02
4.1200,7.26458964e-02
4.1300,6.81003951e-02
4.1400,5.18731640e-02
4.1500,2.76407961e-02
4.1600,9.96401908e-03
4.1700,5.98129135e-03
4.1800,6.87191771e-03
4.1900,-1.06710102e-03
4.2000,-1.88371424e-02
4.2100,-3.53336194e-02
4.2200,-4.27860618e-02
4.2300,-3.72044518e-02
4.2400,-1.57161537e-02
4.2500,1.12714836e-02
4.2600,2.38590978e-02
4.2700,1.87818069e-02
4.2800,1.53974868e-02
4.2900,2.98432880e-02
4.3000,5.31039178e-02
4.3100,6.18070867e-02
4.3200,4.69144456e-02
4.3300,2.33266480e-02
4.3400,1.06104917e-02
4.3500,7.78788948e-03
4.3600,-5.72877145e-03
4.3700,-4.01512132e-02
4.3800,-7.66458809e-02
4.3900,-8.75505315e-02
4.4000,-7.13076556e-02
4.4100,-5.44835480e-02
4.4200,-5.54082314e-02
4.4300,-6.27137393e-02
4.4400,-5.67123735e-02
4.4500,-3.74094514e-02
4.4600,-2.23755535e-02
4.4700,-1.97543670e-02
4.4800,-1.64202862e-02
4.4900,-2.20441762e-03
4.5000,1.32634212e-02
4.5100,1.95724723e-02
4.5200,1.74113990e-02
4.5300,7.41672470e-03
4.5400,-8.05859070e-03
4.5500,-1.86648334e-02
4.5600,-2.11398827e-02
4.5700,-2.77877442e-02
4.5800,-4.89476388e-02
4.5900,-7.78605114e-02
4.6000,-9.67921442e-02
4.6100,-9.30741550e-02
4.6200,-7.02473863e-02
4.6300,-4.38729814e-02
4.6400,-2.42387085e-02
4.6500,-8.09790534e-03
4.6600,1.07630682e-02
4.6700,3.00539353e-02
4.6800,4.17144717e-02
4.6900,4.31601996e-02
4.7000,4.01282724e-02
4.7100,3.58173632e-02
4.7200,2.42482425e-02
4.7300,3.51789432e-03
4.7400,-1.18766851e-02
4.7500,-9.23830884e-03
4.7600,2.04531515e-03
4.7700,6.59290208e-03
4.7800,2.60700563e-03
4.7900,-4.05913324e-03
4.8000,-8.12364806e-03
4.8100,-5.87397392e-03
4.8200,3.27483700e-03
4.8300,1.57696563e-02
4.8400,2.94188404e-02
4.8500,4.84797561e-02
4.8600,7.36492534e-02
4.8700,9.39955868e-02
4.8800,9.77665830e-02
4.8900,8.53423267e-02
4.9000,7.06325951e-02
4.9100,6.94220661e-02
4.9200,8.39005135e-02
4.9300,1.01430343e-01
4.9400,1.08247097e-01
4.9500,1.01026641e-01
4.9600,8.85853826e-02
4.9700,8.50909175e-02
4.9800,9.47616991e-02
4.9900,1.02986865e-01
5.0000,9.18595283e-02
5.0100,6.39338430e-02
5.0200,4.12463978e-02
5.0300,4.12888802e-02
5.0400,6.06349841e-02
5.0500,7.78109245e-02
5.0600,7.21132915e-02
5.0700,5.13301477e-02
5.0800,4.80713118e-02
5.0900,7.41934556e-02
5.1000,1.04860727e-01
5.1100,1.15513946e-01
5.1200,1.07256147e-01
5.1300,9.38187519e-02
5.1400,8.40561905e-02
5.1500,8.08715172e-02
5.1600,8.12113817e-02
5.1700,7.43296585e-02
5.1800,5.28179980e-02
5.1900,2.55738376e-02
5.2000,9.64611121e-03
5.2100,8.64239077e-03
5.2200,1.37826585e-02
5.2300,2.24928643e-02
5.2400,3.80095076e-02
5.2500,5.62999302e-02
5.2600,6.31752423e-02
5.2700,4.97899630e-02
5.2800,2.79204204e-02
5.2900,1.52265100e-02
5.3000,1.71370172e-02
5.3100,3.12236509e-02
5.3200,4.76496369e-02
5.3300,5.22674035e-02
5.3400,4.33483780e-02
5.3500,2.95373245e-02
5.3600,1.42533237e-02
5.3700,-3.86781521e-03
5.3800,-2.07570841e-02
5.3900,-2.64481623e-02
5.4000,-2.03160667e-02
5.4100,-1.72808033e-02
5.4200,-2.76085345e-02
5.4300,-4.16479170e-02
5.4400,-4.47930302e-02
5.4500,-3.81895468e-02
5.4600,-3.31029526e-02
5.4700,-3.10844321e-02
5.4800,-2.39208605e-02
5.4900,-1.16751316e-02
5.5000,-6.84489918e-03
5.5100,-1.71594315e-02
5.5200,-3.43366016e-02
5.5300,-4.62614855e-02
5.5400,-5.11517189e-02
5.5500,-5.14368062e-02
5.5600,-4.77640369e-02
5.5700,-4.61650729e-02
5.5800,-5.35684979e-02
5.5900,-6.22567550e-02
5.6000,-5.71421818e-02
5.6100,-3.86672038e-02
5.6200,-1.93239928e-02
5.6300,-6.23516581e-03
5.6400,-1.01752188e-03
5.6500,-8.67201991e-04
5.6600,1.89270124e-03
5.6700,8.91240924e-03
5.6800,1.19426382e-02
5.6900,5.76782126e-03
5.7000,-6.15060669e-03
5.7100,-2.14437038e-02
5.7200,-4.14251919e-02
5.7300,-6.26438352e-02
5.7400,-7.58159380e-02
5.7500,-7.60189568e-02
5.7600,-6.84998840e-02
5.7700,-5.95531728e-02
5.7800,-4.82086314e-02
5.7900,-3.33099568e-02
5.8000,-2.28203662e-02
5.8100,-2.82110021e-02
5.8200,-4.71114249e-02
5.8300,-6.26094883e-02
5.8400,-6.54770345e-02
5.8500,-6.07579657e-02
5.8600,-5.36914852e-02
5.8700,-4.54216255e-02
5.8800,-3.73122124e-02
5.8900,-3.24797195e-02
5.9000,-3.58970471e-02
5.9100,-4.95529309e-02
5.9200,-6.87884743e-02
5.9300,-8.80000165e-02
5.9400,-1.01542381e-01
5.9500,-1.00843009e-01
5.9600,-8.56824188e-02
5.9700,-7.17031034e-02
5.9800,-7.11728068e-02
5.9900,-7.66586528e-02
6.0000,-7.80733039e-02
6.0100,-7.94352484e-02
6.0200,-8.64020380e-02
6.0300,-9.57819850e-02
6.0400,-1.03668749e-01
6.0500,-1.11740428e-01
6.0600,-1.20771788e-01
6.0700,-1.18331352e-01
6.0800,-8.59612769e-02
6.0900,-2.92672214e-02
6.1000,1.88337952e-02
6.1100,3.47958145e-02
6.1200,2.63326095e-02
6.1300,1.63446190e-02
6.1400,1.81327442e-02
6.1500,3.02523074e-02
6.1600,4.72634853e-02
6.1700,6.28913473e-02
6.1800,6.80116174e-02
6.1900,5.93423056e-02
6.2000,4.59007869e-02
6.2100,3.82999084e-02
6.2200,3.80408784e-02
6.2300,4.14998921e-02
6.2400,4.61175474e-02
6.2500,5.05294885e-02
6.2600,5.64008587e-02
6.2700,6.84916588e-02
6.2800,8.49996390e-02
6.2900,9.53989882e-02
6.3000,9.32371797e-02
6.3100,8.05442728e-02
6.3200,6.07592313e-02
6.3300,3.76672141e-02
6.3400,1.53752778e-02
6.3500,-6.40151923e-03
6.3600,-2.48499630e-02
6.3700,-2.67119464e-02
6.3800,-9.47880142e-03
6.3900,5.58809450e-03
6.4000,4.40770008e-03
6.4100,-1.21368185e-03
6.4200,-6.39945994e-04
6.4300,1.72157393e-03
6.4400,-2.18548866e-04
6.4500,-1.13905180e-02
6.4600,-3.01518930e-02
6.4700,-4.11843084e-02
6.4800,-3.45148997e-02
6.4900,-1.81447886e-02
6.5000,-4.10978615e-04
6.5100,1.73842399e-02
6.5200,3.20060190e-02
6.5300,4.16498117e-02
6.5400,4.77105488e-02
6.5500,4.70254945e-02
6.5600,3.60392358e-02
6.5700,1.91485295e-02
6.5800,4.48936646e-03
6.5900,-4.55291386e-03
6.6000,-1.04193686e-02
6.6100,-1.24629836e-02
6.6200,-4.95596118e-03
6.6300,8.20775500e-03
6.6400,1.37184740e-02
6.6500,9.94832415e-03
6.6600,9.47483347e-03
6.6700,1.89909127e-02
6.6800,3.12295524e-02
6.6900,3.87660599e-02
6.7000,4.19048427e-02
6.7100,4.32449365e-02
6.7200,4.60824493e-02
6.7300,4.95386267e-02
6.7400,4.51365894e-02
6.7500,3.37470071e-02
6.7600,3.50620305e-02
6.7700,6.25942749e-02
6.7800,1.01808864e-01
6.7900,1.26343028e-01
6.8000,1.25828514e-01
6.8100,1.13517212e-01
6.8200,1.09837689e-01
6.8300,1.17729796e-01
6.8400,1.24144787e-01
6.8500,1.24669066e-01
6.8600,1.25623518e-01
6.8700,1.24186480e-01
6.8800,1.08889223e-01
6.8900,8.22002337e-02
6.9000,6.29162480e-02
6.9100,5.89784284e-02
6.9200,5.59762651e-02
6.9300,3.94002088e-02
6.9400,1.56998011e-02
6.9500,2.37354885e-03
6.9600,2.99162377e-03
6.9700,8.44034991e-03
6.9800,1.46421520e-02
6.9900,2.27053650e-02
7.0000,3.62840414e-02
7.0100,6.08308009e-02
7.0200,8.91204829e-02
7.0300,9.82834177e-02
7.0400,7.62917498e-02
7.0500,3.92010121e-02
7.0600,1.06105510e-02
7.0700,-2.17939896e-03
7.0800,-4.13289027e-03
7.0900,-1.00058375e-04
7.1000,5.43761794e-03
7.1100,4.71418556e-03
7.1200,-6.80449373e-03
7.1300,-2.29404729e-02
7.1400,-3.18629191e-02
7.1500,-2.37754126e-02
7.1600,1.19060442e-03
7.1700,2.65365307e-02
7.1800,3.50070752e-02
7.1900,3.32757573e-02
7.2000,4.31522097e-02
7.2100,6.89610461e-02
7.2200,9.29715289e-02
7.2300,1.01331913e-01
7.2400,9.69007199e-02
7.2500,8.82964633e-02
7.2600,7.99829029e-02
7.2700,7.18499120e-02
7.2800,5.92226173e-02
7.2900,3.60846669e-02
7.3000,5.07865091e-03
7.3100,-2.05423785e-02
7.3200,-2.93875624e-02
7.3300,-2.20495939e-02
7.3400,-1.00795451e-02
7.3500,-7.37548848e-03
7.3600,-1.71364208e-02
7.3700,-2.53161300e-02
7.3800,-1.30382687e-02
7.3900,1.90923958e-02
7.4000,4.60720314e-02
7.4100,4.56173325e-02
7.4200,2.10881891e-02
7.4300,-7.54921665e-03
7.4400,-2.55940292e-02
7.4500,-3.38407194e-02
7.4600,-4.13060357e-02
7.4700,-5.00415688e-02
7.4800,-5.25976116e-02
7.4900,-4.55950416e-02
7.5000,-3.57840564e-02
7.5100,-3.06716733e-02
7.5200,-3.59855638e-02
7.5300,-5.78001162e-02
7.5400,-9.08074667e-02
7.5500,-1.15539781e-01
7.5600,-1.19319889e-01
7.5700,-1.07720311e-01
7.5800,-9.47630776e-02
7.5900,-8.98919861e-02
7.6000,-9.12897174e-02
7.6100,-9.43292950e-02
7.6200,-1.01810872e-01
7.6300,-1.12878982e-01
7.6400,-1.11950739e-01
7.6500,-8.87732342e-02
7.6600,-6.11300606e-02
7.6700,-5.19174001e-02
7.6800,-5.65807084e-02
7.6900,-5.85822563e-02
7.7000,-5.40434034e-02
7.7100,-4.70633342e-02
7.7200,-4.24803650e-02
7.7300,-4.42752730e-02
7.7400,-5.25069103e-02
7.7500,-6.57848577e-02
7.7600,-8.45969169e-02
7.7700,-1.04286919e-01
7.7800,-1.11350023e-01
7.7900,-9.73413138e-02
7.8000,-6.78260953e-02
7.8100,-3.47716691e-02
7.8200,-7.79426993e-03
7.8300,1.22501137e-02
7.8400,3.02363116e-02
7.8500,4.39594223e-02
7.8600,4.51963757e-02
7.8700,3.39784731e-02
7.8800,2.10541140e-02
7.8900,1.44450587e-02
7.9000,1.11431106e-02
7.9100,6.89872833e-03
7.9200,4.30040007e-03
7.9300,6.53267195e-03
7.9400,1.24538842e-02
7.9500,1.94587752e-02
7.9600,2.44383333e-02
7.9700,1.99359122e-02
7.9800,9.73322286e-04
7.9900,-2.12181394e-02
8.0000,-2.82701872e-02
8.0100,-1.43064089e-02
8.0200,1.39516623e-02
8.0300,4.13083780e-02
8.0400,4.77522495e-02
8.0500,3.07536629e-02
8.0600,1.53398006e-02
8.0700,2.25811902e-02
8.0800,4.38914814e-02
8.0900,5.73751860e-02
8.1000,5.31276365e-02
8.1100,3.80372211e-02
8.1200,2.46958547e-02
8.1300,1.84041113e-02
8.1400,1.58244565e-02
8.1500,1.23773846e-02
8.1600,5.79085088e-03
8.1700,2.44385388e-04
8.1800,5.49506653e-03
8.1900,1.66791993e-02
8.2000,1.28968893e-02
8.2100,-8.00699566e-03
8.2200,-2.49246800e-02
8.2300,-2.78199768e-02
8.2400,-2.53177482e-02
8.2500,-2.85156585e-02
8.2600,-4.78116997e-02
8.2700,-8.53858008e-02
8.2800,-1.19169745e-01
8.2900,-1.17398667e-01
8.3000,-7.58304279e-02
8.3100,-2.55750188e-02
8.3200,-2.98004235e-03
8.3300,-1.57136887e-02
8.3400,-3.71783827e-02
8.3500,-3.58832139e-02
8.3600,-8.55721007e-03
8.3700,2.09992987e-02
8.3800,3.30173190e-02
8.3900,2.93758326e-02
8.4000,1.96770263e-02
8.4100,8.22144121e-03
8.4200,-1.84233346e-03
8.4300,-4.92027725e-03
8.4400,3.23254789e-03
8.4500,1.66632399e-02
8.4600,1.95260376e-02
8.4700,6.15335020e-03
8.4800,-1.34524350e-02
8.4900,-3.18077021e-02
8.5000,-4.19338587e-02
8.5100,-3.09623129e-02
8.5200,-4.05180496e-03
8.5300,1.46761262e-02
8.5400,1.96187394e-02
8.5500,2.24355967e-02
8.5600,2.12713810e-02
8.5700,7.36336524e-03
8.5800,-1.93108974e-02
8.5900,-5.11823176e-02
8.6000,-6.99671175e-02
8.6100,-5.98888824e-02
8.6200,-3.27695137e-02
8.6300,-1.47500027e-02
8.6400,-1.06388740e-02
8.6500,-3.45574115e-03
8.6600,1.89334974e-02
8.6700,5.25601484e-02
8.6800,8.46306099e-02
8.6900,1.06852213e-01
8.7000,1.20830064e-01
8.7100,1.27442352e-01
8.7200,1.23094021e-01
8.7300,1.09262257e-01
8.7400,9.46622771e-02
8.7500,8.76290081e-02
8.7600,8.93767358e-02
8.7700,9.49142019e-02
8.7800,9.67743535e-02
8.7900,8.95091180e-02
8.8000,7.61173083e-02
8.8100,6.55952930e-02
8.8200,6.47702998e-02
8.8300,7.47111383e-02
8.8400,8.93383656e-02
8.8500,1.00300127e-01
8.8600,1.06494540e-01
8.8700,1.12767550e-01
8.8800,1.18424446e-01
8.8900,1.15447336e-01
8.9000,1.03571371e-01
8.9100,9.55447141e-02
8.9200,9.79245892e-02
8.9300,9.95788721e-02
8.9400,8.72743542e-02
8.9500,6.32872142e-02
8.9600,4.03306464e-02
8.9700,2.63498239e-02
8.9800,2.20726574e-02
8.9900,2.55902097e-02
9.0000,3.11509094e-02
9.0100,2.62625938e-02
9.0200,1.17942097e-03
9.0300,-3.36303067e-02
9.0400,-5.25966182e-02
9.0500,-4.35869339e-02
9.0600,-1.90409137e-02
9.0700,2.51436041e-03
9.0800,1.13967304e-02
9.0900,6.44330836e-03
9.1000,-7.89830617e-03
9.1100,-2.80673390e-02
9.1200,-5.29706526e-02
9.1300,-7.93617455e-02
9.1400,-1.05507700e-01
9.1500,-1.30688755e-01
9.1600,-1.47861096e-01
9.1700,-1.49061486e-01
9.1800,-1.35617938e-01
9.1900,-1.17940617e-01
9.2000,-1.04973578e-01
9.2100,-9.70389526e-02
9.2200,-9.46717302e-02
9.2300,-1.00947385e-01
9.2400,-1.08843902e-01
9.2500,-1.06672533e-01
9.2600,-9.78714568e-02
9.2700,-9.47551512e-02
9.2800,-9.47207596e-02
9.2900,-8.31639015e-02
9.3000,-5.90290867e-02
9.3100,-3.94488224e-02
9.3200,-3.35021048e-02
9.3300,-2.82076304e-02
9.3400,-1.35967770e-02
9.3500,-1.94905047e-03
9.3600,-5.07262666e-03
9.3700,-1.29030630e-02
9.3800,-1.09511862e-02
9.3900,-3.05081668e-03
9.4000,-9.90378033e-04
9.4100,-9.95750425e-04
9.4200,8.15328908e-03
9.4300,1.93653970e-02
9.4400,1.46484981e-02
9.4500,-9.12563526e-03
9.4600,-3.86056965e-02
9.4700,-5.92516520e-02
9.4800,-6.58735174e-02
9.4900,-6.22582555e-02
9.5000,-5.76508497e-02
9.5100,-6.24004603e-02
9.5200,-7.14501247e-02
9.5300,-6.05942380e-02
9.5400,-2.10375075e-02
9.5500,2.21122210e-02
9.5600,4.23927853e-02
9.5700,3.79744831e-02
9.5800,2.33874813e-02
9.5900,1.37231881e-02
9.6000,1.32864606e-02
